Date,Year,Month,NAA_Flow_cfs,NAA_Pref_Velocity_Depth_TotlArea_Sq_ft,NAA_Pref_Velocity_Depth_TotArea_Acres
10/31/1934 0:00,1934,10,3096.1389831077,9700780.28590361,223
9/30/1934 0:00,1934,9,3360.2411255815,8772051.70042204,201
11/30/1933 0:00,1933,11,3408.4540199338,8772051.70042204,201
11/30/1932 0:00,1932,11,3505.61515461,9287967.79752416,213
10/31/1933 0:00,1933,10,3561.240608227,9268730.57219264,213
9/30/1931 0:00,1931,9,3706.0085132395,9150678.00160064,210
10/31/1932 0:00,1932,10,3724.3427980379,8353692.48178634,192
9/30/1932 0:00,1932,9,3728.2434190124,9118266.97991001,209
11/30/1992 0:00,1992,11,3766.7960482765,9226397.03849179,212
11/30/1930 0:00,1930,11,3797.8526165911,9200507.46791001,211
10/31/1931 0:00,1931,10,3801.0260153268,8920279.47215109,205
11/30/1935 0:00,1935,11,3839.1051146529,9226397.03849179,212
9/30/1930 0:00,1930,9,3849.8195364683,9200507.46791001,211
10/31/1935 0:00,1935,10,3949.2798790852,8268094.76204898,190
9/30/1935 0:00,1935,9,3973.1659559876,8640368.27374501,198
10/31/1924 0:00,1924,10,3985.2071490339,7974144.93321608,183
11/30/1931 0:00,1931,11,4012.5279322966,8748498.33232679,201
10/31/1990 0:00,1990,10,4022.9337570074,7826960.49578459,180
12/31/1930 0:00,1930,12,4070.5361246124,8748498.33232679,201
9/30/1988 0:00,1988,9,4101.0592803256,7742314.55055061,178
9/30/1950 0:00,1950,9,4169.8015125537,8547120.65533692,196
11/30/1990 0:00,1990,11,4194.77078289,7580892.17228507,174
9/30/1944 0:00,1944,9,4221.3075963144,8640368.27374501,198
11/30/1991 0:00,1991,11,4226.6601883051,7651538.11346567,176
12/31/1923 0:00,1923,12,4232.3272662214,8349133.147578,192
10/31/1930 0:00,1930,10,4243.0719316555,8730094.9416487,200
9/30/1964 0:00,1964,9,4319.0389886987,8547120.65533692,196
9/30/1955 0:00,1955,9,4325.029285693,8629361.14333692,198
12/31/1990 0:00,1990,12,4354.0158650406,8055836.9719372,185
9/30/1976 0:00,1976,9,4382.5090619036,7987613.86765456,183
10/31/1926 0:00,1926,10,4385.2633177779,8870352.47972359,204
1/31/1991 0:00,1991,1,4389.75734211,8055836.9719372,185
9/30/1972 0:00,1972,9,4390.6605274929,7905373.37965456,181
11/30/1923 0:00,1923,11,4419.1967900167,8695237.87889381,200
11/30/1987 0:00,1987,11,4422.5490525107,8741567.8011562,201
11/30/1936 0:00,1936,11,4425.635961355,8730094.9416487,200
9/30/1947 0:00,1947,9,4426.2269106334,7905373.37965456,181
9/30/1949 0:00,1949,9,4452.29442763,7905373.37965456,181
9/30/1936 0:00,1936,9,4481.2864936188,6831897.27414125,157
10/31/1936 0:00,1936,10,4489.2026255367,8834815.41956429,203
9/30/1990 0:00,1990,9,4514.5768085043,7029884.78190017,161
9/30/1923 0:00,1923,9,4517.3643614325,6809332.14870125,156
9/30/1937 0:00,1937,9,4527.7859941555,6902579.76710934,158
9/30/1929 0:00,1929,9,4539.7568508469,6914732.62402125,159
9/30/1979 0:00,1979,9,4570.4340790494,7046892.57595019,162
11/30/1977 0:00,1977,11,4605.915706256,6879280.69938636,158
10/31/1923 0:00,1923,10,4609.6618290792,8193068.14388193,188
12/31/1936 0:00,1936,12,4624.4342706346,6931145.55619127,159
10/31/1929 0:00,1929,10,4634.5543512941,8193068.14388193,188
11/30/1929 0:00,1929,11,4666.4360933027,6831897.27414125,157
2/28/1977 0:00,1977,2,4666.5895172352,7792634.1498923,179
9/30/1991 0:00,1991,9,4670.5827513717,6648593.46453903,153
10/31/1991 0:00,1991,10,4673.3072526539,8193068.14388193,188
9/30/1926 0:00,1926,9,4681.1698607467,6809332.14870125,156
8/31/1934 0:00,1934,8,4700.5811568166,7009125.56758913,161
10/31/1994 0:00,1994,10,4720.3151479008,8193748.14128634,188
10/31/1937 0:00,1937,10,4724.4634213979,8099820.52547383,186
9/30/1987 0:00,1987,9,4735.8739980916,6952597.47677279,160
10/31/1944 0:00,1944,10,4748.7744453721,9397782.86435539,216
10/31/1964 0:00,1964,10,4757.4754554807,8193068.14388193,188
12/31/1932 0:00,1932,12,4762.2628183147,6931145.55619127,159
10/31/1988 0:00,1988,10,4821.6539778149,9369050.92801148,215
10/31/1986 0:00,1986,10,4831.9136741114,7916516.71587162,182
12/31/1989 0:00,1989,12,4837.145760526,6665601.25858905,153
9/30/1924 0:00,1924,9,4838.6790359614,8099820.52547383,186
12/31/1959 0:00,1959,12,4870.7389163884,7985815.90024001,183
9/30/1989 0:00,1989,9,4871.0816063335,7710410.16357164,177
5/31/1944 0:00,1944,5,4874.1502154401,7498112.50147032,172
9/30/1945 0:00,1945,9,4885.7586660604,7955061.56602758,183
10/31/1945 0:00,1945,10,4892.9341386868,9399608.1869196,216
5/31/1991 0:00,1991,5,4906.7600817033,6875693.1054571,158
9/30/1962 0:00,1962,9,4911.8672709924,6651601.25453568,153
11/30/1925 0:00,1925,11,4918.4934734315,8102828.31547049,186
10/31/1947 0:00,1947,10,4971.3283076396,9400790.65435204,216
10/31/1955 0:00,1955,10,4988.8783307491,9214479.05475318,212
1/31/1947 0:00,1947,1,4989.1286811188,6665601.25858905,153
12/31/1991 0:00,1991,12,4992.3452185711,7884752.57863779,181
11/30/1994 0:00,1994,11,5000.0177816377,9402615.97691625,216
9/30/1948 0:00,1948,9,5011.216647036,6651601.25453568,153
3/31/1924 0:00,1924,3,5012.1891609017,6630744.19583416,152
12/31/1949 0:00,1949,12,5037.1807050632,7779946.96519779,179
10/31/1925 0:00,1925,10,5041.1898765506,9277628.6321676,213
10/31/1985 0:00,1985,10,5052.763431089,8605967.55593112,198
3/31/1988 0:00,1988,3,5077.3090693583,7816512.09469116,179
9/30/1939 0:00,1939,9,5080.670888001,7919524.50586827,182
5/31/1934 0:00,1934,5,5085.9770828364,7163584.12614519,164
9/30/1933 0:00,1933,9,5089.2946169788,7916516.71587162,182
5/31/1977 0:00,1977,5,5097.1927570372,7273339.01420754,167
2/29/1948 0:00,1948,2,5097.7748382335,6590187.42877503,151
11/30/1924 0:00,1924,11,5102.3296129533,9241877.29275403,212
5/31/1933 0:00,1933,5,5111.9361887226,6619352.19626473,152
12/31/1947 0:00,1947,12,5114.6160581167,7679714.83557866,176
5/31/1931 0:00,1931,5,5134.0696251789,6885959.79270603,158
9/30/1925 0:00,1925,9,5149.1490458015,9097332.61256203,209
1/31/1924 0:00,1924,1,5165.453137673,6415585.18796305,147
9/30/1977 0:00,1977,9,5175.0983174797,7797407.24821355,179
5/31/1932 0:00,1932,5,5181.1329548843,6627442.04748913,152
5/31/1930 0:00,1930,5,5192.8303755666,6376931.52945241,146
10/31/1992 0:00,1992,10,5208.176079437,9094324.82256538,209
10/31/1960 0:00,1960,10,5238.6076343333,8289312.55491001,190
10/31/1949 0:00,1949,10,5248.3391467378,8292320.34490666,190
4/30/1930 0:00,1930,4,5251.3486015029,6853857.2200988,157
8/31/1931 0:00,1931,8,5261.3418252028,6810657.35878381,156
8/31/1932 0:00,1932,8,5274.2221135496,6416741.44231199,147
3/31/1931 0:00,1931,3,5278.2300058147,6415585.18796305,147
11/30/1989 0:00,1989,11,5288.3218571088,7827162.75305629,180
4/30/1944 0:00,1944,4,5293.0046353173,6378100.10016432,146
5/31/1960 0:00,1960,5,5301.6592631799,7036846.85091777,162
8/31/1976 0:00,1976,8,5308.8545384065,8325352.08509735,191
2/28/1989 0:00,1989,2,5310.3980714754,7675257.43739934,176
5/31/1924 0:00,1924,5,5316.2468086534,6391901.25451801,147
8/31/1930 0:00,1930,8,5363.2631604843,6332095.49707802,145
1/31/1949 0:00,1949,1,5368.3206397603,6395302.46316615,147
10/31/1979 0:00,1979,10,5368.919072042,9269530.51976203,213
12/31/1986 0:00,1986,12,5380.6673746124,7564787.95732668,174
11/30/1948 0:00,1948,11,5386.7906995468,9097332.61256203,209
12/31/1943 0:00,1943,12,5395.0838501908,7706190.82056137,177
9/30/1985 0:00,1985,9,5401.0522602576,8974535.3575029,206
3/31/1923 0:00,1923,3,5402.2677548008,6538289.58450282,150
10/31/1980 0:00,1980,10,5405.2134206524,9004970.85975005,207
10/31/1966 0:00,1966,10,5418.7661550274,8292320.34490666,190
1/31/1939 0:00,1939,1,5447.6216163228,7589178.40533089,174
12/31/1925 0:00,1925,12,5466.7215887405,8887140.74421244,204
4/30/1934 0:00,1934,4,5489.8514573891,6517503.52220947,150
3/31/1964 0:00,1964,3,5500.7676429807,6509142.05180305,149
4/30/1992 0:00,1992,4,5505.1193620289,8460167.97685221,194
1/31/1929 0:00,1929,1,5515.2977531608,7567070.35796978,174
1/31/1977 0:00,1977,1,5525.8645015804,7706190.82056137,177
9/30/1994 0:00,1994,9,5555.0333022722,6896220.89832485,158
5/31/1950 0:00,1950,5,5555.0803696028,6683426.52448751,153
12/31/1975 0:00,1975,12,5561.449483391,9004153.15944292,207
8/31/1935 0:00,1935,8,5571.9170607705,6530994.61624175,150
6/30/1991 0:00,1991,6,5577.0309764134,6247823.59549044,143
9/30/1980 0:00,1980,9,5594.4458037631,7684082.77320026,176
11/30/1947 0:00,1947,11,5596.110913645,7544505.23252978,173
12/31/1935 0:00,1935,12,5608.8189199666,7790713.70920446,179
5/31/1949 0:00,1949,5,5613.3089351741,6422133.97940083,147
2/28/1933 0:00,1933,2,5616.3123061784,7651136.16853398,176
4/30/1924 0:00,1924,4,5622.9821676706,6241855.66866658,143
10/31/1938 0:00,1938,10,5631.0753995706,8191868.74087028,188
5/31/1945 0:00,1945,5,5647.299770396,5999928.49740572,138
3/31/1977 0:00,1977,3,5660.1957478531,7390840.8113398,170
9/30/2001 0:00,2001,9,5670.149344734,6411900.91422049,147
10/31/1977 0:00,1977,10,5691.7756261928,8191868.74087028,188
3/31/1929 0:00,1929,3,5698.9043527851,7568895.68053399,174
5/31/1936 0:00,1936,5,5701.8552525644,6052895.46755905,139
4/30/1932 0:00,1932,4,5711.0397192569,6590178.90607942,151
10/31/1972 0:00,1972,10,5720.3986529401,9004153.15944292,207
10/31/1989 0:00,1989,10,5722.2996049022,7267120.51009962,167
10/31/1968 0:00,1968,10,5728.5696900346,8444248.61938897,194
5/31/1964 0:00,1964,5,5735.8138813514,6156354.86159208,141
8/31/1955 0:00,1955,8,5736.0649913526,6217389.524519,143
7/31/1934 0:00,1934,7,5744.0287243559,6464355.21494133,148
5/31/1935 0:00,1935,5,5745.8935457419,6022634.9842706,138
10/31/1987 0:00,1987,10,5759.4355110926,6992591.3905656,161
4/30/2001 0:00,2001,4,5761.1528506679,6394122.23922166,147
4/30/1929 0:00,1929,4,5762.0706822519,6425141.76939749,148
10/31/1939 0:00,1939,10,5766.1104089635,8069071.48581115,185
4/30/1988 0:00,1988,4,5769.8347358063,6217108.47603504,143
9/30/1960 0:00,1960,9,5776.3002892414,8022790.51591555,184
3/31/1939 0:00,1939,3,5778.4854313275,8398278.0574492,193
9/30/1992 0:00,1992,9,5781.7149130785,7246157.78789831,166
10/31/1993 0:00,1993,10,5790.1750544191,8444248.61938897,194
4/30/1933 0:00,1933,4,5794.3222089695,6444840.46626571,148
9/30/2002 0:00,2002,9,5815.4383662333,8518679.12360095,196
3/31/1955 0:00,1955,3,5829.410122704,7143145.3767212,164
10/31/1981 0:00,1981,10,5853.9885593094,7772587.54315249,178
12/31/1934 0:00,1934,12,5855.8023892235,7130970.69523203,164
5/31/1955 0:00,1955,5,5858.1486171577,6252742.50051858,144
6/30/1933 0:00,1933,6,5861.2787787751,6591407.81156634,151
6/30/1932 0:00,1932,6,5864.3477099237,6429391.80095212,148
1/31/1937 0:00,1937,1,5864.8686754533,7055896.11691364,162
4/30/1976 0:00,1976,4,5870.6470084387,6063993.1087801,139
12/31/1928 0:00,1928,12,5873.3583127087,8850945.81633183,203
4/30/1950 0:00,1950,4,5876.0815295503,6164076.02691389,142
5/31/1990 0:00,1990,5,5878.9480744573,6081625.60906726,140
10/31/1959 0:00,1959,10,5915.1485239742,6800493.42481846,156
5/31/1937 0:00,1937,5,5935.4971612596,5562003.51210377,128
11/30/1939 0:00,1939,11,5946.9225705212,6895516.48701803,158
2/28/1939 0:00,1939,2,5957.8245452648,7057721.43947785,162
4/30/1981 0:00,1981,4,5963.292463323,8621474.95353949,198
5/31/1979 0:00,1979,5,5976.3969666925,5573101.15332482,128
4/30/1990 0:00,1990,4,5977.200242277,5978664.45005604,137
1/31/1976 0:00,1976,1,5993.1648512047,7092493.36670833,163
12/31/1988 0:00,1988,12,5995.5009027612,6975480.95147785,160
8/31/1937 0:00,1937,8,5998.4712816078,6530759.72786368,150
11/30/2002 0:00,2002,11,5999.9676101801,6184022.60965751,142
8/31/1993 0:00,1993,8,6001.0095129115,6108741.585688,140
8/31/1988 0:00,1988,8,6005.0215857586,6149493.9158546,141
6/30/1992 0:00,1992,6,6005.5879472805,6244957.00653543,143
7/31/1991 0:00,1991,7,6013.6312768368,6530759.72786368,150
9/30/1968 0:00,1968,9,6021.4155631262,7610863.7757123,175
4/30/1991 0:00,1991,4,6025.0129107526,7640408.58275822,175
8/31/1950 0:00,1950,8,6038.0311471255,6428271.04697794,148
11/30/1985 0:00,1985,11,6044.740189647,6163739.8848606,141
12/31/1939 0:00,1939,12,6051.7210415673,7769937.31864275,178
1/31/1925 0:00,1925,1,6055.4238512345,8242788.31369501,189
5/31/1972 0:00,1972,5,6066.0379562262,5898495.57081657,135
4/30/1945 0:00,1945,4,6067.5472425155,5807639.35742351,133
8/31/2001 0:00,2001,8,6075.7064527672,6317957.53277118,145
